event_id,sku_id,retailer,start_week,end_week,start_idx,dur,depth,display,feature,coupon,tier_kind,funding_type,exec_fail,trade_cost,units_on_promo,brand_funding_share,everyday,coupon_cost,wholesale_price
EV-0000,BW-101,Fernhollow Market,2024-03-02,2024-03-02,24,1,0.2,False,True,True,ad,scanback,False,830.92,931.1,0.44,5.79,55.87,3.821
EV-0001,BW-101,Fernhollow Market,2024-12-21,2025-01-04,66,3,0.3,True,True,False,hero,scanback,False,7143.63,5419.0,0.48,5.79,0.0,3.821
EV-0002,BW-101,Fernhollow Market,2026-08-15,2026-08-22,152,2,0.2,False,True,False,ad,scanback,False,1795.63,1588.6,0.47,6.29,0.0,4.151
EV-0003,BW-101,Fernhollow Market,2026-04-18,2026-04-18,135,1,0.25,False,True,True,ad,scanback,False,999.89,920.7,0.37,6.29,55.24,4.151
EV-0004,BW-101,Fernhollow Market,2023-12-23,2023-12-23,14,1,0.15,False,False,False,tpr,scanback,False,257.77,715.9,0.44,5.49,0.0,3.623
EV-0005,BW-101,Fernhollow Market,2025-02-01,2025-02-08,72,2,0.1,False,False,False,tpr,scanback,False,247.17,1126.7,0.38,5.79,0.0,3.821
EV-0006,BW-101,Fernhollow Market,2026-01-10,2026-01-10,121,1,0.2,True,True,True,ad,scanback,False,2044.54,1907.3,0.38,6.29,114.44,4.151
EV-0007,BW-101,Fernhollow Market,2023-10-21,2023-10-21,5,1,0.15,False,False,False,tpr,scanback,False,149.13,418.8,0.43,5.49,0.0,3.623
EV-0008,BW-101,Fernhollow Market,2025-06-21,2025-06-21,92,1,0.25,True,True,True,ad,scanback,False,1938.67,1303.7,0.47,5.99,78.22,3.953
EV-0009,BW-101,Fernhollow Market,2024-10-12,2024-10-12,56,1,0.15,False,False,False,tpr,off_invoice,False,193.89,477.5,0.47,5.79,0.0,3.821
EV-0010,BW-101,Granite Peak Grocers,2024-12-14,2024-12-21,65,2,0.3,True,True,True,hero,off_invoice,False,4227.6,4033.9,0.38,5.29,242.03,3.491
EV-0011,BW-101,Granite Peak Grocers,2026-08-15,2026-08-15,152,1,0.15,False,False,False,tpr,scanback,False,180.06,474.6,0.44,5.79,0.0,3.821
EV-0012,BW-101,Granite Peak Grocers,2024-06-08,2024-06-15,38,2,0.15,False,False,False,tpr,off_invoice,False,251.81,712.2,0.45,5.29,0.0,3.491
EV-0013,BW-101,Granite Peak Grocers,2025-02-08,2025-02-15,73,2,0.2,False,True,False,ad,scanback,False,1405.14,1677.5,0.45,5.29,0.0,3.491
EV-0014,BW-101,Granite Peak Grocers,2026-01-03,2026-01-03,120,1,0.1,False,False,False,tpr,off_invoice,False,198.79,871.3,0.42,5.49,0.0,3.623
EV-0015,BW-101,Granite Peak Grocers,2025-08-02,2025-08-02,98,1,0.1,False,False,False,tpr,off_invoice,False,75.27,299.9,0.46,5.49,0.0,3.623
EV-0016,BW-101,Granite Peak Grocers,2024-10-05,2024-10-12,55,2,0.1,False,False,False,tpr,scanback,False,195.96,978.6,0.38,5.29,0.0,3.491
EV-0017,BW-101,Granite Peak Grocers,2024-01-27,2024-02-03,19,2,0.1,False,False,False,tpr,scanback,False,233.1,1024.1,0.46,4.99,0.0,3.293
EV-0018,BW-101,Granite Peak Grocers,2024-08-24,2024-08-24,49,1,0.1,False,False,False,tpr,scanback,False,92.98,373.5,0.47,5.29,0.0,3.491
EV-0019,BW-101,Granite Peak Grocers,2026-05-16,2026-05-16,139,1,0.1,False,False,False,tpr,off_invoice,False,81.56,362.6,0.39,5.79,0.0,3.821
EV-0020,BW-101,Granite Peak Grocers,2025-11-22,2025-11-29,114,2,0.25,True,True,False,ad,scanback,False,3211.01,3152.1,0.35,5.49,0.0,3.623
EV-0021,BW-101,Granite Peak Grocers,2024-07-06,2024-07-13,42,2,0.2,False,True,False,ad,scanback,False,1116.59,1203.8,0.44,5.29,0.0,3.491
EV-0022,BW-101,Granite Peak Grocers,2025-05-24,2025-05-24,88,1,0.1,False,False,False,tpr,scanback,False,70.98,367.4,0.35,5.49,0.0,3.623
EV-0023,BW-101,Granite Peak Grocers,2025-08-30,2025-09-06,102,2,0.2,False,True,False,ad,off_invoice,False,1339.98,1536.7,0.41,5.49,0.0,3.623
EV-0024,BW-101,Granite Peak Grocers,2025-04-26,2025-04-26,84,1,0.1,False,False,False,tpr,scanback,False,125.43,508.9,0.47,5.29,0.0,3.491
EV-0025,BW-101,Granite Peak Grocers,2023-12-16,2023-12-30,13,3,0.25,True,True,False,hero,scanback,False,4494.45,4539.1,0.45,4.99,0.0,3.293
EV-0026,BW-101,ThriftLane,2026-01-03,2026-01-10,120,2,0.2,False,True,False,ad,scanback,False,3500.98,5404.0,0.48,4.79,0.0,3.161
EV-0027,BW-101,ThriftLane,2023-12-30,2024-01-06,15,2,0.15,False,False,False,tpr,scanback,False,761.99,3339.8,0.35,4.29,0.0,2.831
EV-0028,BW-101,ThriftLane,2026-02-07,2026-02-14,125,2,0.1,False,False,False,tpr,scanback,False,550.28,2760.4,0.42,4.79,0.0,3.161
EV-0029,BW-101,ThriftLane,2025-03-15,2025-03-22,78,2,0.2,False,True,True,ad,scanback,True,1871.85,2048.8,0.44,4.49,122.93,2.963
EV-0030,BW-101,ThriftLane,2024-02-03,2024-02-03,20,1,0.15,False,False,False,tpr,scanback,False,409.33,1780.0,0.36,4.29,0.0,2.831
EV-0031,BW-101,ThriftLane,2024-05-04,2024-05-04,33,1,0.25,True,True,False,ad,scanback,False,1643.82,1613.4,0.37,4.29,0.0,2.831
EV-0032,BW-101,ThriftLane,2024-11-23,2024-11-30,62,2,0.15,False,False,False,tpr,off_invoice,False,866.15,2902.3,0.44,4.49,0.0,2.963
EV-0033,BW-101,ThriftLane,2024-05-25,2024-05-25,36,1,0.2,True,True,True,ad,off_invoice,False,1764.29,1837.1,0.38,4.49,110.23,2.963
EV-0034,BW-101,ThriftLane,2025-07-19,2025-07-19,96,1,0.15,False,False,False,tpr,off_invoice,False,260.1,1001.7,0.36,4.79,0.0,3.161
EV-0035,BW-101,ThriftLane,2026-04-18,2026-04-25,135,2,0.1,False,False,False,tpr,off_invoice,False,446.92,2023.9,0.44,4.99,0.0,3.293
EV-0036,BW-101,ThriftLane,2023-11-25,2023-11-25,10,1,0.25,True,True,False,ad,off_invoice,False,1891.06,2563.9,0.35,4.29,0.0,2.831
EV-0037,BW-101,ThriftLane,2025-04-19,2025-04-19,83,1,0.1,False,False,False,tpr,off_invoice,False,153.99,950.8,0.36,4.49,0.0,2.963
EV-0038,BW-101,ThriftLane,2026-08-15,2026-08-22,152,2,0.2,False,True,False,ad,scanback,False,2479.42,4028.7,0.34,4.99,0.0,3.293
EV-0039,BW-101,ThriftLane,2025-02-15,2025-02-15,74,1,0.15,False,False,False,tpr,scanback,False,279.3,881.1,0.47,4.49,0.0,2.963
EV-0040,BW-101,ThriftLane,2026-06-06,2026-06-13,142,2,0.25,True,True,False,hero,scanback,False,4958.8,4698.2,0.38,4.99,0.0,3.293
EV-0041,BW-101,ThriftLane,2025-05-17,2025-05-17,87,1,0.15,False,False,False,tpr,off_invoice,False,204.05,840.3,0.36,4.49,0.0,2.963
EV-0042,BW-101,ThriftLane,2025-08-23,2025-08-23,101,1,0.25,False,True,False,ad,scanback,False,1835.46,2497.9,0.45,4.79,0.0,3.161
EV-0043,BW-101,ThriftLane,2024-08-24,2024-08-24,49,1,0.1,False,False,False,tpr,scanback,False,235.82,1177.0,0.45,4.49,0.0,2.963
EV-0044,BW-101,ThriftLane,2026-07-04,2026-07-11,146,2,0.25,False,True,False,ad,scanback,False,2475.83,3227.8,0.34,4.99,0.0,3.293
EV-0045,BW-101,ThriftLane,2025-06-07,2025-06-07,90,1,0.2,True,True,False,ad,scanback,False,1827.1,2080.4,0.35,4.49,0.0,2.963
EV-0046,BW-101,ThriftLane,2023-10-28,2023-11-04,6,2,0.1,False,False,False,tpr,scanback,True,248.8,1247.4,0.46,4.29,0.0,2.831
EV-0047,BW-101,ThriftLane,2026-05-16,2026-05-16,139,1,0.1,False,False,False,tpr,scanback,False,170.02,1002.1,0.34,4.99,0.0,3.293
EV-0048,BW-101,Hollybrook Foods,2024-10-26,2024-11-02,58,2,0.3,True,True,True,hero,off_invoice,False,1508.41,1000.6,0.47,5.79,60.04,3.821
EV-0049,BW-101,Hollybrook Foods,2023-11-04,2023-11-04,7,1,0.15,False,False,False,tpr,off_invoice,False,54.9,143.9,0.46,5.49,0.0,3.623
EV-0050,BW-101,Hollybrook Foods,2024-02-10,2024-02-17,21,2,0.15,False,False,False,tpr,scanback,False,137.16,419.4,0.4,5.49,0.0,3.623
EV-0051,BW-101,Hollybrook Foods,2025-11-29,2025-11-29,115,1,0.2,True,True,False,ad,off_invoice,False,603.73,486.5,0.36,6.29,0.0,4.151
EV-0052,BW-101,Hollybrook Foods,2024-12-28,2025-01-04,67,2,0.15,False,False,False,tpr,scanback,False,210.69,598.4,0.41,5.79,0.0,3.821
EV-0053,BW-101,Hollybrook Foods,2025-06-28,2025-07-12,93,3,0.25,True,True,True,hero,scanback,False,1963.48,1268.9,0.43,5.99,76.13,3.953
EV-0054,BW-101,Hollybrook Foods,2026-08-15,2026-08-22,152,2,0.2,True,True,False,ad,scanback,False,1348.25,833.1,0.45,6.29,0.0,4.151
EV-0055,BW-101,Hollybrook Foods,2024-06-22,2024-06-22,40,1,0.15,False,False,False,tpr,off_invoice,False,38.58,119.5,0.37,5.79,0.0,3.821
EV-0056,BW-101,Hollybrook Foods,2026-06-06,2026-06-20,142,3,0.25,True,True,True,hero,scanback,False,2505.74,1515.7,0.46,6.29,90.94,4.151
