week_end,t,sku_id,sku_name,line,retailer,units,everyday_price,price,dollars,arp,promo_flag,depth,display,feature,coupon,sibling_promo,pre_promo,post_promo,stores_selling,pct_acv,oos_week,base_units_true,cogs,true_base_pe,true_promo_pe,true_display_mult,true_feature_mult,true_coupon_mult,naive_base_units,naive_incr_units
2023-09-16,0,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,380.0,5.49,5.49,2086.19,5.49,0,0.0,0,0,0,0,0,0,74,0.632,0,383.3,1.32,-1.3,-2.0,1.32,1.2,1.12,380.0,0.0
2023-09-23,1,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,294.7,5.49,5.49,1618.17,5.49,0,0.0,0,0,0,0,0,0,72,0.615,0,325.2,1.32,-1.3,-2.0,1.32,1.2,1.12,294.7,0.0
2023-09-30,2,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,353.2,5.49,5.49,1939.17,5.49,0,0.0,0,0,0,1,0,0,72,0.615,0,327.5,1.32,-1.3,-2.0,1.32,1.2,1.12,353.2,0.0
2023-10-07,3,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,364.2,5.49,5.49,1999.26,5.49,0,0.0,0,0,0,1,0,0,72,0.615,0,329.9,1.32,-1.3,-2.0,1.32,1.2,1.12,364.2,0.0
2023-10-14,4,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,285.8,5.49,5.49,1569.09,5.49,0,0.0,0,0,0,0,1,0,72,0.615,0,332.6,1.32,-1.3,-2.0,1.32,1.2,1.12,285.8,0.0
2023-10-21,5,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,418.8,5.49,4.67,1989.21,4.75,1,0.15,0,0,0,0,0,0,73,0.623,0,340.4,1.32,-1.3,-2.0,1.32,1.2,1.12,353.2,65.6
2023-10-28,6,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,326.6,5.49,5.49,1792.83,5.49,0,0.0,0,0,0,0,0,1,73,0.623,0,344.1,1.32,-1.3,-2.0,1.32,1.2,1.12,326.6,0.0
2023-11-04,7,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,379.4,5.49,5.49,2082.98,5.49,0,0.0,0,0,0,0,0,0,73,0.623,0,348.4,1.32,-1.3,-2.0,1.32,1.2,1.12,379.4,0.0
2023-11-11,8,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,368.6,5.49,5.49,2023.49,5.49,0,0.0,0,0,0,0,0,0,72,0.615,0,348.6,1.32,-1.3,-2.0,1.32,1.2,1.12,368.6,0.0
2023-11-18,9,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,405.9,5.49,5.49,2228.6,5.49,0,0.0,0,0,0,1,0,0,73,0.623,0,424.9,1.32,-1.3,-2.0,1.32,1.2,1.12,405.9,0.0
2023-11-25,10,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,455.4,5.49,5.49,2499.93,5.49,0,0.0,0,0,0,1,0,0,72,0.615,0,458.3,1.32,-1.3,-2.0,1.32,1.2,1.12,455.4,0.0
2023-12-02,11,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,374.7,5.49,5.49,2057.08,5.49,0,0.0,0,0,0,1,0,0,72,0.615,0,367.2,1.32,-1.3,-2.0,1.32,1.2,1.12,374.7,0.0
2023-12-09,12,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,475.6,5.49,5.49,2611.19,5.49,0,0.0,0,0,0,0,0,0,73,0.623,0,379.5,1.32,-1.3,-2.0,1.32,1.2,1.12,475.6,0.0
2023-12-16,13,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,456.2,5.49,5.49,2504.43,5.49,0,0.0,0,0,0,0,1,0,76,0.649,0,459.5,1.32,-1.3,-2.0,1.32,1.2,1.12,456.2,0.0
2023-12-23,14,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,715.9,5.49,4.67,3436.13,4.8,1,0.15,0,0,0,0,0,0,75,0.64,0,544.7,1.32,-1.3,-2.0,1.32,1.2,1.12,392.6,323.2
